1	0.001
0.99	0.01178
0.98	0.021
0.96	0.035
0.94	0.04389
0.92	0.04867
0.9	0.05
0.575	0.05
0.5675	0.04517072
0.56	0.041690481
0.5525	0.039326695
0.545	0.037951632
0.5375	0.0375
0.53	0.037951632
0.5225	0.039326695
0.515	0.041690481
0.5075	0.04517072
0.5	0.05
0.4	0.04878
0.3	0.04478
0.2	0.03789
0.15	0.03289
0.1	0.02667
0.075	0.02289
0.05	0.01844
0.025	0.01267
0.0125	0.00878
0	0
0.0125	-0.00878
0.025	-0.01267
0.05	-0.01844
0.075	-0.02289
0.1	-0.02667
0.15	-0.03289
0.2	-0.03789
0.3	-0.04478
0.4	-0.04878
0.5	-0.05
0.9	-0.05
0.92	-0.04867
0.94	-0.04389
0.96	-0.035
0.98	-0.021
0.99	-0.01178
1	-0.001
